Question_ID,Questions,Answers,topic,urgent
1009594,What is positive psychology?,Mental health topic; support and care can help.,other,False
1028374,What are common signs of war trauma in children?,"Flashbacks, avoidance, hyperarousal.",ptsd,False
1030153,How can I find a mental health professional for myself or my child?,Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment.,other,False
1036161,How is bipolar disorder treated?,Mood stabilizers + therapy + routine.,bipolar,False
1043721,I received a diagnosis but I don’t think it’s right. What can I do?,"If possible, bring up your concerns with the professional who provided the diagnosis.",other,False
1054447,How is when to call emergency services treated?,Consult a professional; treatments exist.,other,False
1059486,How is school counselor treated?,Find a trained provider; many effective styles.,therapy,False
1109031,What are common signs of self-harm?,"Talk of death, giving away items, self-injury.",suicide_selfharm,True
1120642,When should I get help for sexual assault trauma?,"Seek help if symptoms persist, worsen, or disrupt daily life.",ptsd,False
1131249,What is cost of mental health care?,Mental health topic; support and care can help.,other,False
1155199,"If I become involved in treatment, what do I need to know?",It is important to be as involved and engaged in the treatment process as possible.,other,False
1156287,When should I get help for caregiver stress?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
1162230,Can relapse prevention improve with treatment?,Yes. With proper care many people improve.,other,False
1192619,When should I get help for talking to parents about mental health?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
1247595,What is puberty and emotions?,Mental health topic; support and care can help.,other,False
1259439,If I become involved in treatment what do I need to know?,It is important to continue involvement in the treatment process as much as possible.,other,False
1326765,When should I get help for goal setting?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
1337085,"I have thoughts of suicide, or someone I care about is talking about suicide. What should I do?","If you need to talk to someone or you aren’t sure how to help someone you care about, call 1-800-SUICIDE (1-800-784-2433) at any time.",suicide_selfharm,True
1352896,What is refugee trauma?,Ongoing distress after trauma.,ptsd,False
1397023,What are common signs of financial stress?,"Restlessness, racing thoughts, tension, avoidance.",other,False
1415846,When should I get help for text vs call crisis help?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
1419610,What are common signs of anxiety?,"Restlessness, racing thoughts, tension, avoidance.",anxiety,False
1445199,What is postpartum depression?,"Persistent low mood, loss of interest; help is available.",depression,False
1463060,When should I get help for genetic testing for meds?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
