Question_ID,Questions,Answers,Clean_Questions
1009594,what is positive psychology?,<start> mental health topic support and care can help. <end>,positive psychology
1028374,what are common signs of war trauma in children?,"<start> flashbacks, avoidance, hyperarousal. <end>",common sign war trauma child
1030153,how can i find a mental health professional for myself or my child?,<start> feeling comfortable with the professional you or your child is working with is critical to the success of the treatment. <end>,find mental health professional child
1036161,how is bipolar disorder treated?,<start> mood stabilizers therapy routine. <end>,bipolar disorder treated
1043721,i received a diagnosis but i don t think it s right. what can i do?,"<start> if possible, bring up your concerns with the professional who provided the diagnosis. <end>",received diagnosis think right
1054447,how is when to call emergency services treated?,<start> consult a professional treatments exist. <end>,call emergency service treated
1059486,how is school counselor treated?,<start> find a trained provider many effective styles. <end>,school counselor treated
1109031,what are common signs of self harm?,"<start> talk of death, giving away items, self injury. <end>",common sign self harm
1120642,when should i get help for sexual assault trauma?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help sexual assault trauma
1131249,what is cost of mental health care?,<start> mental health topic support and care can help. <end>,cost mental health care
1155199,"if i become involved in treatment, what do i need to know?",<start> it is important to be as involved and engaged in the treatment process as possible. <end>,become involved treatment need know
1156287,when should i get help for caregiver stress?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help caregiver stress
1162230,can relapse prevention improve with treatment?,<start> yes. with proper care many people improve. <end>,relapse prevention improve treatment
1192619,when should i get help for talking to parents about mental health?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help talking parent mental health
1247595,what is puberty and emotions?,<start> mental health topic support and care can help. <end>,puberty emotion
1259439,if i become involved in treatment what do i need to know?,<start> it is important to continue involvement in the treatment process as much as possible. <end>,become involved treatment need know
1326765,when should i get help for goal setting?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help goal setting
1337085,"i have thoughts of suicide, or someone i care about is talking about suicide. what should i do?","<start> if you need to talk to someone or you aren t sure how to help someone you care about, call 1 800 suicide 1 800 784 2433 at any time. <end>",thought suicide someone care talking suicide
1352896,what is refugee trauma?,<start> ongoing distress after trauma. <end>,refugee trauma
1397023,what are common signs of financial stress?,"<start> restlessness, racing thoughts, tension, avoidance. <end>",common sign financial stress
1415846,when should i get help for text vs call crisis help?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help text v call crisis help
1419610,what are common signs of anxiety?,"<start> restlessness, racing thoughts, tension, avoidance. <end>",common sign anxiety
1445199,what is postpartum depression?,"<start> persistent low mood, loss of interest help is available. <end>",postpartum depression
1463060,when should i get help for genetic testing for meds?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help genetic testing med
1499914,what is substance use disorder?,<start> problem use of substances despite harm. <end>,substance use disorder
1511075,how do i deal with someone telling me what to do?,"<start> some people may advise you on good evidence of what works with the best of intentions, but it's important to find out what works best for you. <end>",deal someone telling
1527021,when should i get help for rural mental health access?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help rural mental health access
1533224,can eating disorders improve with treatment?,<start> yes. with proper care many people improve. <end>,eating disorder improve treatment
1538552,when should i get help for combining meds and therapy?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help combining med therapy
1546812,can i get help paying for prescription medications?,"<start> bc pharmacare covers the cost of some medications through plan g, the psychiatric medications plan, for people who need a medication to be well but cannot. <end>",get help paying prescription medication
1585622,where can i find child and youth mental health services?,"<start> to find help for a child or youth, you can encourage your child to talk to a teacher or school counsellor talk to your family doctor or pediatrician, or go to. <end>",find child youth mental health service
1590140,what does it mean to have a mental illness?,"<start> mental illnesses are health conditions that disrupt a person's thoughts, emotions, relationships, and daily functioning. <end>",mean mental illness
1604451,when should i get help for intensive outpatient program?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help intensive outpatient program
1619387,what should i do if i know someone who appears to have the symptoms of a mental disorder?,<start> we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. <end>,know someone appears symptom mental disorder
1641849,when should i get help for caffeine and anxiety?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help caffeine anxiety
1649691,how is light therapy treated?,<start> find a trained provider many effective styles. <end>,light therapy treated
1666754,how is tourette syndrome treated?,<start> consult a professional treatments exist. <end>,tourette syndrome treated
1667863,can you prevent mental health problems?,"<start> we can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious. <end>",prevent mental health problem
1669324,what are common signs of reducing stigma?,"<start> watch for changes in mood, behavior, or function. <end>",common sign reducing stigma
1701771,when should i get help for workplace accommodations?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help workplace accommodation
1706961,what's the difference between cbt and dbt?,"<start> cbt cognitive behavioural therapy and dbt dialectical behaviour therapy are two forms of psychotherapy or talk therapy. in both, you work with a mental. <end>",whats difference cbt dbt
1728977,what are common signs of intellectual disability?,"<start> watch for changes in mood, behavior, or function. <end>",common sign intellectual disability
1739653,what are common signs of couples therapy?,<start> n a. <end>,common sign couple therapy
1744682,can immigrant mental health improve with treatment?,<start> yes. with proper care many people improve. <end>,immigrant mental health improve treatment
1768805,what are common signs of student mental health?,"<start> watch for changes in mood, behavior, or function. <end>",common sign student mental health
1790481,how is partial hospitalization treated?,<start> consult a professional treatments exist. <end>,partial hospitalization treated
1833460,where can older adults find help for mental health concerns?,"<start> mental health concerns are a serious concern at any age, and everyone deserves help and support. <end>",older adult find help mental health concern
1841248,how is grief treated?,<start> consult a professional treatments exist. <end>,grief treated
1848731,can hormones and mood improve with treatment?,<start> yes. with proper care many people improve. <end>,hormone mood improve treatment
1852264,how is grounding techniques treated?,<start> consult a professional treatments exist. <end>,grounding technique treated
1896541,what are positive and negative symptoms?,<start> positive and negative symptoms are medical terms for two groups of symptoms in schizophrenia. positive symptoms add. <end>,positive negative symptom
1898078,what's the difference between psychotherapy and counselling?,<start> psychotherapy and counselling have a lot in common and usually mean the same thing. <end>,whats difference psychotherapy counselling
1908841,can parasocial relationships improve with treatment?,<start> yes. with proper care many people improve. <end>,parasocial relationship improve treatment
1938483,what are common signs of medication adherence?,"<start> watch for changes in mood, behavior, or function. <end>",common sign medication adherence
1954280,how is suicidal thoughts treated?,<start> immediate crisis support professional care. <end>,suicidal thought treated
1959074,what are common signs of seasonal affective disorder?,"<start> watch for changes in mood, behavior, or function. <end>",common sign seasonal affective disorder
1971823,when should i get help for trauma after violence?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help trauma violence
1981186,when should i get help for generalized anxiety disorder?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help generalized anxiety disorder
1983738,can teen parenting stress improve with treatment?,<start> yes. with proper care many people improve. <end>,teen parenting stress improve treatment
1987737,what is lgbtq youth suicide risk?,<start> thoughts of ending life or hurting yourself need urgent help. <end>,lgbtq youth suicide risk
2009922,i m having a hard time coping with a physical health problem. where can i find help?,<start> physical health can have a big impact on mental health! <end>,hard time coping physical health problem find help
2016911,what are common signs of role play therapy?,<start> n a. <end>,common sign role play therapy
2022698,can social anxiety improve with treatment?,<start> yes. with proper care many people improve. <end>,social anxiety improve treatment
2065818,how is legal rights in treatment treated?,<start> consult a professional treatments exist. <end>,legal right treatment treated
2074176,when should i get help for interpreters in therapy?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help interpreter therapy
2110460,how is screen time and mood treated?,<start> consult a professional treatments exist. <end>,screen time mood treated
2110618,who does mental illness affect?,"<start> mental illness can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. <end>",mental illness affect
2115228,where can i find self help materials for anxiety?,<start> self help resources are not a substitute for diagnosis or treatment. <end>,find self help material anxiety
2130789,how is intersectionality mental health treated?,<start> consult a professional treatments exist. <end>,intersectionality mental health treated
2140194,how is gambling disorder treated?,<start> consult a professional treatments exist. <end>,gambling disorder treated
2149597,what are common signs of opioid use disorder?,"<start> cravings, loss of control, withdrawal. <end>",common sign opioid use disorder
2154126,how is psychiatrist vs psychologist treated?,<start> consult a professional treatments exist. <end>,psychiatrist v psychologist treated
2161193,when should i get help for retirement adjustment?,"<start> seek help if symptoms persist, worsen, or disrupt daily life. <end>",get help retirement adjustment
2164686,what are common signs of isolation and loneliness?,"<start> watch for changes in mood, behavior, or function. <end>",common sign isolation loneliness
2166941,what is lgbtq mental health?,<start> mental health topic support and care can help. <end>,lgbtq mental health
2173965,what are common signs of minority stress?,"<start> restlessness, racing thoughts, tension, avoidance. <end>",common sign minority stress
2176317,how can i pay for mental health care?,"<start> mental health services provided through the government run public system, like services you receive through your local mental health centre or team, an. <end>",pay mental health care
2188789,what is noise and mental health?,<start> mental health topic support and care can help. <end>,noise mental health
2191066,can human trafficking trauma improve with treatment?,<start> yes. with proper care many people improve. <end>,human trafficking trauma improve treatment
2197935,what are common signs of support groups?,"<start> watch for changes in mood, behavior, or function. <end>",common sign support group
2217071,how is workplace stress treated?,"<start> therapy, skills practice, sometimes medication. <end>",workplace stress treated
2229110,what are common signs of mindfulness?,<start> n a. <end>,common sign mindfulness
2262382,what are common signs of inpatient vs outpatient care?,"<start> watch for changes in mood, behavior, or function. <end>",common sign inpatient v outpatient care
2264748,what are common signs of sugar and mood swings?,"<start> watch for changes in mood, behavior, or function. <end>",common sign sugar mood swing
2321324,what is pandemic mental health?,<start> mental health topic support and care can help. <end>,pandemic mental health
2322047,what are common signs of heart disease and mental health?,"<start> watch for changes in mood, behavior, or function. <end>",common sign heart disease mental health
2338687,can relationship counseling improve with treatment?,<start> yes. with proper care many people improve. <end>,relationship counseling improve treatment
